T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2021,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
202,Sub-Saharan Africa,2022,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),"71,188",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),"117,409",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2010,GDP in current prices (millions of US dollars),"235,948",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2015,GDP in current prices (millions of US dollars),"330,690",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2020,GDP in current prices (millions of US dollars),"425,948",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2021,GDP in current prices (millions of US dollars),"460,290",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2022,GDP in current prices (millions of US dollars),"512,915",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,1995,GDP per capita (US dollars),326,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2005,GDP per capita (US dollars),407,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2010,GDP per capita (US dollars),691,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2015,GDP per capita (US dollars),843,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2020,GDP per capita (US dollars),951,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2021,GDP per capita (US dollars),"1,001",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2022,GDP per capita (US dollars),"1,087",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"110,361",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"165,872",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"244,330",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"330,690",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"410,573",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2021,GDP in constant 2015 prices (millions of US dollars),"433,454",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"455,154",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,1995,GDP real rates of growth (percent),4.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2005,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2010,GDP real rates of growth (percent),9.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2015,GDP real rates of growth (percent),6.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2020,GDP real rates of growth (percent),0.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2021,GDP real rates of growth (percent),5.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
14,Eastern Africa,2022,GDP real rates of growth (percent),5.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,1995,GDP in current prices (millions of US dollars),"37,554",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2005,GDP in current prices (millions of US dollars),"101,403",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2010,GDP in current prices (millions of US dollars),"191,153",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2015,GDP in current prices (millions of US dollars),"242,684",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2020,GDP in current prices (millions of US dollars),"195,536",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2021,GDP in current prices (millions of US dollars),"234,765",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2022,GDP in current prices (millions of US dollars),"287,184",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,1995,GDP per capita (US dollars),441,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2005,GDP per capita (US dollars),892,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2010,GDP per capita (US dollars),"1,431",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2015,GDP per capita (US dollars),"1,542",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2020,GDP per capita (US dollars),"1,059",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2021,GDP per capita (US dollars),"1,234",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
17,Middle Africa,2022,GDP per capita (US dollars),"1,465",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
