T09,Public expenditure on education (as of 2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
40,Austria,2015,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2020,All staff compensation as % of total expenditure in public institutions (%),68.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2020,Capital expenditure as % of total expenditure in public institutions (%),6.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2020,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2020,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2020,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2022,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2022,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
40,Austria,2022,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2005,All staff compensation as % of total expenditure in public institutions (%),66.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2005,Capital expenditure as % of total expenditure in public institutions (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2010,All staff compensation as % of total expenditure in public institutions (%),64.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),45.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2015,All staff compensation as % of total expenditure in public institutions (%),52.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2015,Capital expenditure as % of total expenditure in public institutions (%),2.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2021,All staff compensation as % of total expenditure in public institutions (%),65.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2021,Capital expenditure as % of total expenditure in public institutions (%),9.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2021,Basic access to computers by level of education: Primary,97.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2021,Basic access to computers by level of education: Lower secondary,99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2021,Basic access to computers by level of education: Upper secondary,99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Basic access to computers by level of education: Primary,98.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Basic access to computers by level of education: Lower secondary,99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
31,Azerbaijan,2022,Basic access to computers by level of education: Upper secondary,99,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2012,All staff compensation as % of total expenditure in public institutions (%),82.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2012,Capital expenditure as % of total expenditure in public institutions (%),3.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2015,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
48,Bahrain,2022,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
50,Bangladesh,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
